date,market,level,side,match,pinn_fair_odds,pinn_vig,best_book,best_price,value,won
2025-09-06,Home/Away (1st Set),tour,Home,V. Lepchenko vs A. Smith,1.4295,0.0434,1xBet,1.4,-0.02061,true
2025-09-06,Home/Away (1st Set),tour,Away,V. Lepchenko vs A. Smith,3.3285,0.0434,bet365,3.25,-0.02357,false
2025-09-06,Home/Away (1st Set),tour,Home,E. Shibahara vs N. Sousa Salazar,1.0773,0.0359,bet365,1.03,-0.04393,true
2025-09-06,Home/Away (1st Set),tour,Away,E. Shibahara vs N. Sousa Salazar,13.9327,0.0359,10Bet,15,0.0766,false
2025-09-06,Home/Away,tour,Home,L. Stefanini vs S. Vickery,1.4513,0.0441,Marathon,1.38,-0.04913,true
2025-09-06,Home/Away,tour,Away,L. Stefanini vs S. Vickery,3.2158,0.0441,Unibet,3.05,-0.05157,false
2025-09-06,Home/Away (1st Set),tour,Home,L. Stefanini vs S. Vickery,1.5233,0.0434,Betfair,1.5,-0.01529,true
2025-09-06,Home/Away (1st Set),tour,Away,L. Stefanini vs S. Vickery,2.911,0.0434,Fonbet,2.65,-0.08965,false
2025-09-07,Home/Away,slam,Home,J. Sinner vs C. Alcaraz,1.7919,0.0239,1xBet,1.85,0.03245,false
2025-09-07,Home/Away,slam,Away,J. Sinner vs C. Alcaraz,2.2629,0.0239,Fonbet,2.2,-0.02778,true
2025-09-07,Home/Away (1st Set),slam,Home,J. Sinner vs C. Alcaraz,1.8578,0.0264,1xBet,1.9,0.0227,false
2025-09-07,Home/Away (1st Set),slam,Away,J. Sinner vs C. Alcaraz,2.1657,0.0264,Fonbet,2.12,-0.02112,true
2025-09-07,Home/Away,tour,Home,M. Inglis vs V. Wolff,1.2654,0.0457,10Bet,1.22,-0.03584,true
2025-09-07,Home/Away,tour,Away,M. Inglis vs V. Wolff,4.7686,0.0457,bet365,4.33,-0.09198,false
2025-09-07,Home/Away (1st Set),tour,Home,M. Inglis vs V. Wolff,1.3782,0.0441,Betfair,1.36,-0.01322,true
2025-09-07,Home/Away (1st Set),tour,Away,M. Inglis vs V. Wolff,3.6439,0.0441,bet365,3.5,-0.0395,false
2025-09-07,Home/Away,tour,Home,M. Stakusic vs A. Hesse,1.4268,0.0415,Unibet,1.38,-0.03279,true
2025-09-07,Home/Away,tour,Away,M. Stakusic vs A. Hesse,3.3431,0.0415,Betway,3.2,-0.04279,false
2025-09-07,Home/Away (1st Set),tour,Home,M. Stakusic vs A. Hesse,1.5326,0.0426,Betfair,1.5,-0.02128,true
2025-09-07,Home/Away (1st Set),tour,Away,M. Stakusic vs A. Hesse,2.8776,0.0426,Betway,2.75,-0.04433,false
2025-09-07,Home/Away,tour,Home,V. Jimenez Kasintseva vs C. Brace,1.4498,0.043,Unibet,1.43,-0.01368,true
2025-09-07,Home/Away,tour,Away,V. Jimenez Kasintseva vs C. Brace,3.223,0.043,Betway,3,-0.0692,false
2025-09-07,Home/Away (1st Set),tour,Home,V. Jimenez Kasintseva vs C. Brace,1.5345,0.0439,1xBet,1.53,-0.00296,true
2025-09-07,Home/Away (1st Set),tour,Away,V. Jimenez Kasintseva vs C. Brace,2.8707,0.0439,Fonbet,2.65,-0.0769,false
2025-09-07,Home/Away,tour,Home,E. Shibahara vs D. Vidmanova,2.4294,0.0427,Unibet,2.55,0.04962,false
